,forecast_date,high_temp,low_temp,precip_prob,wind_stats,date,day,actual_high,actual_low,actual_precip,year,month
0,2021-09-18,78,63,0.04,N 10 mph,2021-09-19,19,75.0,64.0,0.0,2021,9
1,2021-09-18,75,64,0.06,ESE 9 mph,2021-09-20,20,75.0,63.0,0.0,2021,9
2,2021-09-18,75,68,0.05,ESE 11 mph,2021-09-21,21,75.0,63.0,0.09,2021,9
3,2021-09-18,76,69,0.5,SE 14 mph,2021-09-22,22,78.0,72.0,0.01,2021,9
4,2021-09-18,72,62,0.58,SSE 13 mph,2021-09-23,23,79.0,64.0,1.28,2021,9
5,2021-09-18,71,60,0.52,WNW 10 mph,2021-09-24,24,71.0,57.0,0.75,2021,9
6,2021-09-18,75,61,0.16,W 8 mph,2021-09-25,25,75.0,58.0,0.0,2021,9
7,2021-09-18,74,58,0.19,W 9 mph,2021-09-26,26,,,,2021,9
8,2021-09-18,74,59,0.18,WNW 9 mph,2021-09-27,27,,,,2021,9
9,2021-09-18,74,59,0.1,W 9 mph,2021-09-28,28,,,,2021,9
10,2021-09-18,72,57,0.24,WNW 9 mph,2021-09-29,29,,,,2021,9
11,2021-09-18,72,58,0.24,NW 8 mph,2021-09-30,30,,,,2021,9
12,2021-09-18,70,56,0.17,NW 9 mph,2021-10-01,1,,,,2021,10
13,2021-09-18,71,58,0.24,WNW 9 mph,2021-10-02,2,,,,2021,10
14,2021-09-19,76,65,0.05,ESE 8 mph,2021-09-20,20,75.0,63.0,0.0,2021,9
15,2021-09-19,76,70,0.11,ESE 10 mph,2021-09-21,21,75.0,63.0,0.09,2021,9
16,2021-09-19,78,72,0.44,SSE 13 mph,2021-09-22,22,78.0,72.0,0.01,2021,9
17,2021-09-19,75,65,0.92,SSE 13 mph,2021-09-23,23,79.0,64.0,1.28,2021,9
18,2021-09-19,70,59,0.61,WSW 8 mph,2021-09-24,24,71.0,57.0,0.75,2021,9
19,2021-09-19,75,61,0.14,NW 6 mph,2021-09-25,25,75.0,58.0,0.0,2021,9
20,2021-09-19,74,57,0.23,WNW 9 mph,2021-09-26,26,,,,2021,9
21,2021-09-19,73,58,0.09,NW 7 mph,2021-09-27,27,,,,2021,9
22,2021-09-19,75,60,0.15,WNW 8 mph,2021-09-28,28,,,,2021,9
